"PERIODE","TYPE_VOD","TYPE_FILM","ORIGIN","GENRE","UNIT","VALUE","STATUS"
"2019","EST","all","all","all","film","20928","A"
"2019","EST","all","all","all","view","1280061","A"
"2019","EST","all","all","ani","film","965","A"
"2019","EST","all","all","ani","view","209612","A"
"2019","EST","all","all","doc","film","1514","A"
"2019","EST","all","all","doc","view","20111","A"
"2019","EST","all","all","fic","film","18449","A"
"2019","EST","all","all","fic","view","1050338","A"
"2019","EST","all","och","all","film","430","A"
"2019","EST","all","och","all","view","10624","A"
"2019","EST","all","och","ani","film","2","A"
"2019","EST","all","och","ani","view","87","A"
"2019","EST","all","och","doc","film","149","A"
"2019","EST","all","och","doc","view","2057","A"
"2019","EST","all","och","fic","film","279","A"
"2019","EST","all","och","fic","view","8480","A"
"2019","EST","all","oep","all","film","7582","A"
"2019","EST","all","oep","all","view","193386","A"
"2019","EST","all","oep","ani","film","261","A"
"2019","EST","all","oep","ani","view","18040","A"
"2019","EST","all","oep","doc","film","696","A"
"2019","EST","all","oep","doc","view","8855","A"
"2019","EST","all","oep","fic","film","6625","A"
"2019","EST","all","oep","fic","view","166491","A"
"2019","EST","all","oot","all","film","2415","A"
"2019","EST","all","oot","all","view","42454","A"
"2019","EST","all","oot","ani","film","177","A"
"2019","EST","all","oot","ani","view","4787","A"
"2019","EST","all","oot","doc","film","114","A"
"2019","EST","all","oot","doc","view","953","A"
"2019","EST","all","oot","fic","film","2124","A"
"2019","EST","all","oot","fic","view","36714","A"
"2019","EST","all","ous","all","film","10501","A"
"2019","EST","all","ous","all","view","1033597","A"
"2019","EST","all","ous","ani","film","525","A"
"2019","EST","all","ous","ani","view","186698","A"
"2019","EST","all","ous","doc","film","555","A"
"2019","EST","all","ous","doc","view","8246","A"
"2019","EST","all","ous","fic","film","9421","A"
"2019","EST","all","ous","fic","view","838653","A"
"2019","EST","cin","all","all","film","7180","A"
"2019","EST","cin","all","all","view","1085229","A"
"2019","EST","cin","all","ani","film","420","A"
"2019","EST","cin","all","ani","view","185933","A"
"2019","EST","cin","all","doc","film","435","A"
"2019","EST","cin","all","doc","view","10677","A"
"2019","EST","cin","all","fic","film","6325","A"
"2019","EST","cin","all","fic","view","888619","A"
"2019","EST","cin","och","all","film","327","A"
"2019","EST","cin","och","all","view","9692","A"
"2019","EST","cin","och","ani","film","2","A"
"2019","EST","cin","och","ani","view","87","A"
"2019","EST","cin","och","doc","film","141","A"
"2019","EST","cin","och","doc","view","2031","A"
"2019","EST","cin","och","fic","film","184","A"
"2019","EST","cin","och","fic","view","7574","A"
"2019","EST","cin","oep","all","film","2991","A"
"2019","EST","cin","oep","all","view","148206","A"
"2019","EST","cin","oep","ani","film","152","A"
"2019","EST","cin","oep","ani","view","15728","A"
"2019","EST","cin","oep","doc","film","198","A"
"2019","EST","cin","oep","doc","view","4350","A"
"2019","EST","cin","oep","fic","film","2641","A"
"2019","EST","cin","oep","fic","view","128128","A"
"2019","EST","cin","oot","all","film","332","A"
"2019","EST","cin","oot","all","view","15098","A"
"2019","EST","cin","oot","ani","film","36","A"
"2019","EST","cin","oot","ani","view","2036","A"
"2019","EST","cin","oot","doc","film","8","A"
"2019","EST","cin","oot","doc","view","127","A"
"2019","EST","cin","oot","fic","film","288","A"
"2019","EST","cin","oot","fic","view","12935","A"
"2019","EST","cin","ous","all","film","3530","A"
"2019","EST","cin","ous","all","view","912233","A"
"2019","EST","cin","ous","ani","film","230","A"
"2019","EST","cin","ous","ani","view","168082","A"
"2019","EST","cin","ous","doc","film","88","A"
"2019","EST","cin","ous","doc","view","4169","A"
"2019","EST","cin","ous","fic","film","3212","A"
"2019","EST","cin","ous","fic","view","739982","A"
"2019","SVOD","all","all","all","film","9439","A"
"2019","SVOD","all","all","all","view",".","D"
"2019","SVOD","all","all","ani","film","397","A"
"2019","SVOD","all","all","ani","view",".","D"
"2019","SVOD","all","all","doc","film","837","A"
"2019","SVOD","all","all","doc","view",".","D"
"2019","SVOD","all","all","fic","film","8205","A"
"2019","SVOD","all","all","fic","view",".","D"
"2019","SVOD","all","och","all","film","432","A"
"2019","SVOD","all","och","all","view",".","D"
"2019","SVOD","all","och","ani","film","2","A"
"2019","SVOD","all","och","ani","view",".","D"
"2019","SVOD","all","och","doc","film","212","A"
"2019","SVOD","all","och","doc","view",".","D"
"2019","SVOD","all","och","fic","film","218","A"
"2019","SVOD","all","och","fic","view",".","D"
"2019","SVOD","all","oep","all","film","2740","A"
"2019","SVOD","all","oep","all","view",".","D"
"2019","SVOD","all","oep","ani","film","76","A"
"2019","SVOD","all","oep","ani","view",".","D"
"2019","SVOD","all","oep","doc","film","219","A"
"2019","SVOD","all","oep","doc","view",".","D"
"2019","SVOD","all","oep","fic","film","2445","A"
"2019","SVOD","all","oep","fic","view",".","D"
"2019","SVOD","all","oot","all","film","1871","A"
